paper_title,paper_authors,full_name,acronym,material_class,ionic_conductivity_S_per_cm,temperature,processing_method,material_description,source_location
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Gallium Rubidium Lanthanum Zirconate Oxide,LLZO-bare,Ceramic,1.27,25 °C,"Ga-Rb-doped LLZO powder synthesized in a Taylor-Couette reactor. Starting materials (La(NO3)3·xH2O, ZrOCl2·xH2O, Ga(NO3)3·xH2O, RbNO3) precipitated, washed, dried. Mixed with 3 wt% excess LiOH·H2O for 15 min (planetary ball mill). Calcined at 900 °C for 2 h. For pellets, 10 wt% excess lithium added, compacted into circular mold, sintered at 1200 °C for 5 h, protected from mother powder.","Garnet-type solid electrolyte pellet (sintered at 1200 °C for 5h), D50 of powder 10.141 µm. Pores observed, grain boundaries less distinct.",Abstract and Table 4
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Gallium Rubidium Lanthanum Zirconate Oxide,LLZO-ballmill,Ceramic,1.58,25 °C,"Ga-Rb-doped LLZO powder synthesized in a Taylor-Couette reactor. Starting materials precipitated, washed, dried. Mixed with 3 wt% excess LiOH·H2O for 15 min. Calcined at 900 °C for 2 h. Ball-milled at 400 rpm for 10 min using a planetary ball mill and zirconia beads. For pellets, 10 wt% excess lithium added, compacted into circular mold, sintered at 1200 °C for 5 h, protected from mother powder.","Garnet-type solid electrolyte pellet (sintered at 1200 °C for 5h), D50 of powder 0.611 µm (after ball milling). Pores closed, grain boundaries almost disappear.",Abstract and Table 4
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Solid polymer electrolytes,,Polymer,10.0,RT,N/A (Cited Work),N/A (Cited Work) - general class of solid polymer electrolytes. Ionic conduction occurs through the segmentation motion of the polymer.,"Introduction, paragraph 3 (Citing [8-10])"
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate Oxide (cubic phase),LLZO,Ceramic,10.0,RT,N/A (Cited Work),N/A (Cited Work) - general characteristic of cubic phase LLZO.,"Introduction, paragraph 4"
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate Oxide (tetragonal phase),LLZO,Ceramic,10.0,RT,N/A (Cited Work),N/A (Cited Work) - general characteristic of tetragonal phase LLZO.,"Introduction, paragraph 4"
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Polyethylene Oxide-based Composite Solid Electrolyte with Lithium Gallium Rubidium Lanthanum Zirconate Oxide filler,LLZO-bare CSE,Other,5.95,25 °C,"LLZO-bare powder (synthesized by Taylor-Couette, calcined at 900°C for 2h) mixed with PEO binder solution (PEO (Mn = 200 K), LiClO4, LiFSi, ACN, [EO]:[Li] molar ratio of 13:1) at 70:30 wt ratio. Slurry stirred 15 min, cast on PET film, dried 1 day, then roll pressed to 80 µm. All procedures performed in a dry room.","Composite solid electrolyte sheet, 80 µm thick. Contains LLZO-bare powder (D50 ~10 µm) non-uniformly distributed in PEO binder. Forms a 'polymer-in-ceramic' structure.",Table 5
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Polyethylene Oxide-based Composite Solid Electrolyte with Lithium Gallium Rubidium Lanthanum Zirconate Oxide filler,LLZO-ballmill CSE,Other,1.73,25 °C,"LLZO-ballmill powder (synthesized by Taylor-Couette, calcined at 900°C for 2h, then ball-milled at 400 rpm for 10 min) mixed with PEO binder solution (PEO (Mn = 200 K), LiClO4, LiFSi, ACN, [EO]:[Li] molar ratio of 13:1) at 70:30 wt ratio. Slurry stirred 15 min, cast on PET film, dried 1 day, then roll pressed to 80 µm. All procedures performed in a dry room.","Composite solid electrolyte sheet, 80 µm thick. Contains LLZO-ballmill powder (D50 ~0.6 µm) finely pulverized and well distributed in PEO binder. Forms a 'polymer-in-ceramic' structure.",Table 5
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate bare sheet,LLZO-bare (sheet),Ceramic,7e-08,25°C,Not specified,Bare LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate bare sheet,LLZO-bare (sheet),Ceramic,1.2e-06,35°C,Not specified,Bare LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate bare sheet,LLZO-bare (sheet),Ceramic,6e-05,45°C,Not specified,Bare LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate bare sheet,LLZO-bare (sheet),Ceramic,0.0002,55°C,Not specified,Bare LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate bare sheet,LLZO-bare (sheet),Ceramic,0.0003,70°C,Not specified,Bare LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate ballmilled sheet,LLZO-ballmill (sheet),Ceramic,1.5e-08,25°C,ballmill,Ballmilled LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate ballmilled sheet,LLZO-ballmill (sheet),Ceramic,8e-07,35°C,ballmill,Ballmilled LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate ballmilled sheet,LLZO-ballmill (sheet),Ceramic,5e-05,45°C,ballmill,Ballmilled LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate ballmilled sheet,LLZO-ballmill (sheet),Ceramic,0.00013,55°C,ballmill,Ballmilled LLZO sheet,Figure: _page_6_Figure_1.jpeg
Improvement of PEO-based composite solid electrolyte sheet using particle-size-controlled Ga-Rb-doped LLZO with high ion conductivity,"Dahee Hwang, Min-Young Kim, Young-Woong Song, Lee HyoChan, Su-Jin Kim, Byeong-su Kang, Youngsun Hong, Ho-sung Kim, Jaekook Kim, Jinsub Lim",Lithium Lanthanum Zirconate ballmilled sheet,LLZO-ballmill (sheet),Ceramic,0.00025,70°C,ballmill,Ballmilled LLZO sheet,Figure: _page_6_Figure_1.jpeg
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide,PVDF-HFP/LiTFSI,Polymer,1.85e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible solid polymer electrolyte (SPE) membrane, 0 wt% LLZTO. Whitish in color. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 1 (SPE)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,2.22e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible composite solid polymer electrolyte (CSPE) membrane, 5 wt% LLZTO. Color changes from whitish and becomes more dark brown as LLZTO percentage increases. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 2 (CSPE-5)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,2.77e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible composite solid polymer electrolyte (CSPE) membrane, 10 wt% LLZTO. Color changes from whitish and becomes more dark brown as LLZTO percentage increases. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 3 (CSPE-10)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,3.17e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible composite solid polymer electrolyte (CSPE) membrane, 15 wt% LLZTO. Color changes from whitish and becomes more dark brown as LLZTO percentage increases. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 4 (CSPE-15)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,4.93e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible composite solid polymer electrolyte (CSPE) membrane, 20 wt% LLZTO. Color was very consistent throughout, indicating uniform distribution of LLZTO particles. Good mechanical strength. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 5 (CSPE-20)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,3.06e-05,20 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","Free-standing, flexible composite solid polymer electrolyte (CSPE) membrane, 25 wt% LLZTO. Slurry became very viscous and turned into a jelly-kind of structure, difficult to spread, likely causing agglomeration of LLZTO particles. Thickness ~80–120 μm. Self-supporting structure, good mechanical strength.","Table 1, Row 6 (CSPE-25)"
Development of composite solid polymer electrolyte for solid-state lithium battery: Incorporating LLZTO in PVDF-HFP/LiTFSI,"Poonam Yadav, Md Sazzad Hosen, Pradeep Kumar Dammala, Pavlo Ivanchenko, Joeri Van Mierlo, Maitane Berecibar",Poly(vinylidene fluoride-co-hexafluoropropylene) / Lithium bis(trifluoromethanesulfonyl)imide / Li6.4La3Zr1.4Ta0.6O12,PVDF-HFP/LiTFSI/LLZTO,Other,0.000104,30 °C,"Solution casting method. LiTFSI added in NMP solvent, stirred for 1h. PVDF-HFP added, stirred for 12h. Weight ratio of PVDF-HFP:LiTFSI = 2:1. LLZTO added, stirred for 5-6h. Slurry poured into glass petri-dish and dried at 60 °C under vacuum for 24 h. Free-standing electrolyte membrane obtained.","As-obtained composite solid polymer electrolyte (CSPE) membrane, likely CSPE-20 (20 wt% LLZTO inferred as it was the best performing CSPE). Improved performance. Thickness ~80–120 μm.",Conclusion
